# Customers Currently,# Customers in Pipeline,Account Manager Name,Active Customer (PY),Before Selected Year,Before Selected Year-1,CHS Rename,CHS Tooltip,Close Date,Closed?,Colour - Customer Health Score Pipeline,Conversion or Lost? (Hist),Current Year?,Customer Health Score,Customer Name,DS Filter - Exclude,dummy,ID,Likely Churn?,Number of Customers - SY,Opp Type Tooltip,Opportunity Description,Opportunity Description2,Opportunity Name,Opportunity Number,Opportunity Stage Name,Opportunity Type,Opps Param Label,Opps Text,Pipeline Value Label,Pipeline Value Text,Portfolio Status,Prior Year Param,Right_Opportunity Description,Selected Account Manager,Selected Metric [Opps],Selected Metric [Opps] (copy),Selected Stage,Selected Year,Selected Year dot,Stage,Stage Name,Stage ▶,Table Filter,Title - Renewals or Pipeline,Year,Year of Close,ARR,Colour,Conversion Rate (%),Deal Size - Avg for SY,Deal Size - Colour,Deal Size - CY vs PY,Deal Size - PY,Expected Churn,In Pipeline,New Customers - CY vs PY,Number of Line Items,Number to Show,Opportunity/Opps,Pipeline - CY vs PY,Pipeline - CY vs PY %,Pipeline - Last Year,Pipeline Value (£),Pipeline Value - Colour,Pipeline Value - CY,Selected Metric,Selected Metric - ARR,Selected Metric - Opps,Upsell > Target,Upsell Target,Upsell vs Target,Upsells - CY,Upsells - PY,Value,Value (copy),Variance to Target - Conversion Rate
,,James Jackson,Bogan LLC,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,25/12/2019,Historic,,Conversion,False,,Bogan LLC,,dummy,415,Expected Churn,Bogan LLC,Sale of additional services on top of an existing contract,License opp,License + LT Consulting opp,Opportunity 415,415,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,Support plan + licenses,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2019,2019,,False,0,,,,,,0,0,1,20,Opportunity,,,,,,,14039.660127377,14039.660127377,,,,,,,14039.660127377,14039.660127377,-50.0%
,,Ryan Thomas,Nader Group,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,20/10/2021,Historic,,Conversion,False,,Nader Group,,dummy,1452,Expected Churn,Nader Group,An existing contract is due to expire unless renewed,License opp,License opp,Opportunity 1452,1452,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License + ST Consulting opp,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2021,2021,,False,0,,,,,,0,0,3,20,Opportunity,,,,,,,81391.964499231,81391.964499231,,,,,,,81391.964499231,81391.964499231,-50.0%
,,Jane Smith,,False,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,23/01/2024,Historic,,Conversion,False,,King LLC,Hide,dummy,132,Expected Churn,,Sale of additional services on top of an existing contract,Consulting opp (Short term),License + LT Consulting opp,Opportunity 132,132,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,Consulting opp (Short term),False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2024,2024,,False,0,,,,,,0,0,6,20,Opportunity,,,,,,,62593.718483717,62593.718483717,,,,,,,62593.718483717,62593.718483717,-50.0%
,,Samantha Lee,Koss-Cremin,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,16/06/2019,Historic,,Lost,False,,Koss-Cremin,,dummy,1033,Expected Churn,Koss-Cremin,New Business,Support plan + licenses,License + LT Consulting opp,Opportunity 1033,1033,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,License + ST Consulting opp,False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2019,2019,,False,0,,,,,,0,0,10,20,Opportunity,,,,,,,69033.534747789,69033.534747789,,,,,,,69033.534747789,69033.534747789,-50.0%
,Sawayn LLC,Kevin Martinez,,False,False,Neutral,There are not enough factors to provide an opportunity health score,18/11/2025,Pending,,Conversion,False,Amber,Sawayn LLC,,dummy,682,Healthy,,An existing contract is due to expire unless renewed,License opp,License + LT Consulting opp,Opportunity 682,682,Feedback,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,License opp,False,False,True,False,False,,5,Negotiation,5,True,Upcoming Renewals,2025,2025,,False,0,,,,,,0,0,7,20,Opportunity,,,,82097.800504905,,,82097.800504905,82097.800504905,,,,,,,82097.800504905,82097.800504905,-50.0%
Crist-Beahan,,Jessica White,Crist-Beahan,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,05/04/2016,Historic,,Conversion,False,,Crist-Beahan,,dummy,1938,Healthy,Crist-Beahan,Sale of additional services on top of an existing contract,License opp,Consulting opp (Infrastructure),Opportunity 1938,1938,,Upsell,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,Consulting opp (Short term),False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2016,2016,84535.756203005,False,1,,,,,,0,0,10,20,Opportunity,,,,,,,84535.756203005,84535.756203005,,,,,,,84535.756203005,84535.756203005,+50.0%
,,Kevin Martinez,,True,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,25/12/2023,Historic,,Conversion,False,,Schoen-Auer,,dummy,1252,Expected Churn,Schoen-Auer,An existing contract is due to expire unless renewed,License + LT Consulting opp,Support plan + licenses,Opportunity 1252,1252,,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,Consulting opp (Infrastructure),False,False,True,False,True,●,Closed Lost,,Closed Lost,True,Upcoming Renewals,2023,2023,,True,0,64937.676035867,,,,,0,1,3,20,Opportunity,,,,,,,64937.676035867,64937.676035867,,,16234.419008967,,,,64937.676035867,64937.676035867,-50.0%
,,Kevin Martinez,Dare-Brakus,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,11/07/2015,Historic,,Lost,False,,Dare-Brakus,,dummy,1160,Expected Churn,Dare-Brakus,New Business,Support plan + licenses,Support plan + licenses,Opportunity 1160,1160,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Lost,False,Consulting opp (Infrastructure),False,False,True,False,False,,Closed Lost,,Closed Lost,True,Upcoming Renewals,2015,2015,,False,0,,,,,,0,0,6,20,Opportunity,,,,,,,46745.646997994,46745.646997994,,,,,,,46745.646997994,46745.646997994,-50.0%
Wuckert Inc,,John Doe,Wuckert Inc,True,True,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,19/10/2014,Historic,,Lost,False,,Wuckert Inc,,dummy,1506,Healthy,Wuckert Inc,New Business,License opp,License opp,Opportunity 1506,1506,,NB,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Closed Won,False,License opp,False,False,True,False,False,,Closed Won,,Closed Won,True,Upcoming Renewals,2014,2014,21842.974368912,False,1,,,,,,0,0,7,20,Opportunity,,,,,,,21842.974368912,21842.974368912,,,,,,,21842.974368912,21842.974368912,+50.0%
,Barton LLC,John Doe,,False,False,DNR,The client has expressed that they are unlikely to go ahead with this opportunity,09/02/2025,Pending,,Conversion,False,Red,Barton LLC,,dummy,581,Expected Churn,,An existing contract is due to expire unless renewed,Consulting opp (Infrastructure),Consulting opp (Short term),Opportunity 581,581,Feedback,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,Consulting opp (Long term),False,False,True,False,False,,5,Negotiation,5,True,Upcoming Renewals,2025,2025,,False,0,,,,,,0,0,9,20,Opportunity,,,,42208.792323342,,,42208.792323342,42208.792323342,,,,,,,42208.792323342,42208.792323342,-50.0%
,Frami-Ryan,Emily Brown,,False,False,Confident,The opportunity has a high chance of being successful,01/05/2024,Pending,Green,Conversion,False,Green,Frami-Ryan,,dummy,920,Healthy,,An existing contract is due to expire unless renewed,Consulting opp (Infrastructure),License opp,Opportunity 920,920,Contracts,Renewal,# Opportunities,Opportunities,Pipeline Value,Pipeline Value,Pending,False,License opp,False,False,True,False,False,,6,Closing,6,True,Upcoming Renewals,2024,2024,,False,0,,,,,,0,0,6,20,Opportunity,,,,95469.460514251,,,95469.460514251,95469.460514251,,,,,,,95469.460514251,95469.460514251,-50.0%
